year,school_type,establishment,region,status,univ_name,total,degree_total,humanities,natural_science,engineering,arts_sports,medicine,joint_program,training_total,language_training,exchange,visiting,other_training,lang_qualified_total,topik4_plus,english_track,english_native,lang_qualified_ratio,dorm_deg_total,dorm_deg_in,dorm_deg_out,dorm_tr_total,dorm_tr_in,dorm_tr_out,univ_key,dorm_capacity_rate,univ_name_en,dorm_capacity,dorm_fee_min,dorm_available
2025,사이버대학(대학),사립,서울,기존,세종사이버대학교,134,134,70,2,54,8,0,0,0,0,0,0,0,0,0,0,0,0.0,134,0,134,0,0,0,세종사이버대,0.0,SEJONG CYBER UNIVERSITY,0.0,,아니오
2025,대학교,사립,전남,기존,세한대학교,62,62,46,1,1,14,0,0,0,0,0,0,0,2,2,0,0,3.2,62,8,54,0,0,0,세한대,12.9,SEHAN UNIVESITY,1229.0,300.0,예
2025,대학교,사립,광주,기존,송원대학교,400,228,217,0,3,8,0,0,172,172,0,0,0,46,46,0,0,20.2,228,0,228,172,172,0,송원대,43.0,SONGWON UNIVERSITY,100.0,200.0,예
2025,대학교,사립,경기,기존,수원가톨릭대학교,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100.0,1,0,1,0,0,0,수원가톨릭대,0.0,SUWON CATHOLIC UNIVERSITY,0.0,,아니오
2025,대학교,사립,경기,기존,수원대학교,73,14,11,0,0,3,0,0,59,31,28,0,0,5,5,0,0,35.7,14,1,13,59,31,28,수원대,43.8,THE UNIVERSITY OF SUWON,916.0,280.0,아니오
2025,대학교,사립,서울,기존,숙명여자대학교,520,160,120,10,3,27,0,0,360,72,288,0,0,95,69,26,0,59.4,160,53,107,360,91,269,숙명여자대,27.7,SOOKMYUNG WOMEN`S UNIVERSITY,415.0,250.0,예
2025,대학교,사립,충남,기존,순천향대학교,675,564,430,12,117,5,0,0,111,20,91,0,0,291,171,120,0,51.6,564,310,254,111,91,20,순천향대,59.4,Soonchunhyang University,1986.0,110.0,예
2025,대학교,사립,서울,기존,숭실대학교,2479,1752,1549,3,182,18,0,0,727,594,133,0,0,1144,1144,0,0,65.3,1752,112,1640,727,299,428,숭실대,16.6,SOONGSIL UNIVERSITY,1403.0,250.0,예
2025,사이버대학(대학),사립,서울,기존,숭실사이버대학교,98,98,95,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98,0,98,0,0,0,숭실사이버대,0.0,,,,
2025,대학교,사립,경북,기존,신경주대학교,168,100,97,0,0,3,0,0,68,68,0,0,0,96,2,94,0,96.0,100,72,28,68,59,9,신경주대,78.0,SINGYEONGJU UNIVERSITY,420.0,1200000.0,예
2025,대학교,사립,부산,기존,신라대학교,1093,621,332,20,228,41,0,0,472,462,10,0,0,156,85,61,10,25.1,621,60,561,472,154,318,신라대,19.6,SILLA UNIVERSITY,1750.0,187.0,예
2025,대학교,사립,경기,기존,신한대학교,10,8,4,0,4,0,0,0,2,0,2,0,0,2,2,0,0,25.0,8,2,6,2,2,0,신한대,40.0,SHINHAN UNIVERSITY,50.0,100.0,예
2025,대학교,사립,경기,기존,신한대학교_제2캠퍼스,1127,718,433,104,98,83,0,0,409,396,13,0,0,87,87,0,0,12.1,718,123,595,409,66,343,신한대_,16.8,,,,
2025,대학교,사립,경기,기존,아신대학교,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,아신대,0.0,ACTS University,40.0,133000.0,예
2025,대학교,사립,경기,기존,아주대학교,2411,937,541,9,387,0,0,0,1474,1316,158,0,0,533,524,9,0,56.9,937,213,724,1474,312,1162,아주대,21.8,Ajou University,3540.0,490.0,예
2025,대학교,사립,경기,기존,안양대학교,16,10,5,0,3,2,0,0,6,0,6,0,0,3,3,0,0,30.0,10,0,10,6,6,0,안양대,37.5,ANYANG UNIVERSITY,224.0,180.0,예
2025,대학교,사립,강원,기존,연세대학교(미래)_분교,622,543,487,33,14,0,9,0,79,47,32,0,0,94,93,0,1,17.3,543,136,407,79,66,13,연세대_,32.5,,,,
2025,대학교,사립,서울,기존,연세대학교,4740,2183,1772,153,252,1,5,4,2553,1713,474,366,0,1319,854,317,148,60.4,2183,730,1453,2557,0,2557,연세대,15.4,YONSEI UNIVERSITY,13351.0,120.0,예
2025,대학교,사립,경북,기존,영남대학교,1439,834,576,41,142,75,0,0,605,524,81,0,0,177,177,0,0,21.2,834,107,727,605,272,333,영남대,26.3,YEUNGNAM UNIVERSITY,445.0,140.0,예
2025,대학교,사립,경북,기존,영남신학대학교,28,17,17,0,0,0,0,0,11,11,0,0,0,1,1,0,0,5.9,17,2,15,11,10,1,영남신학대,42.9,YOUNGNAM UNIVERSITY THEOLOGICAL AND SEMINARY,330.0,50000.0,예
2025,대학교,사립,경남,기존,영산대학교(양산)_제2캠퍼스,98,98,1,10,87,0,0,0,0,0,0,0,0,31,0,31,0,31.6,98,10,88,0,0,0,영산대_,10.2,,,,
2025,대학교,사립,부산,기존,영산대학교(해운대),842,608,498,50,0,60,0,4,230,226,4,0,0,407,33,374,0,66.9,608,48,560,234,92,142,영산대,16.6,YOUNGSAN UNIVERSITY,4971.0,100.0,예
2025,대학교,사립,전남,기존,영산선학대학교,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,100.0,2,2,0,0,0,0,영산선학대,100.0,YOUNGSAN WONBUDDHIST UNIVERSITY,200.0,150.0,아니오
2025,대학교,사립,전북,기존,예원예술대학교,104,90,0,0,0,90,0,0,14,14,0,0,0,22,16,5,1,24.4,90,0,90,14,0,14,예원예술대,0.0,YEWON UNIVERSITY,300.0,113000.0,예
2025,대학교,사립,경기,기존,예원예술대학교_제2캠퍼스,309,284,270,0,0,14,0,0,25,25,0,0,0,272,4,267,1,95.8,284,0,284,25,0,25,예원예술대_,0.0,,,,
2025,대학교,사립,경기,기존,용인대학교,138,35,9,5,0,21,0,0,103,102,1,0,0,31,31,0,0,88.6,35,0,35,103,0,103,용인대,0.0,YONG-IN UNIVERSITY,0.0,,아니오
2025,대학교,사립,전북,기존,우석대학교,1111,868,719,58,45,43,3,7,236,163,65,0,8,50,50,0,0,5.8,868,141,727,243,28,215,우석대,15.2,WOOSUK UNIVERSITY,2975.0,125.0,예
2025,대학교,사립,대전,기존,우송대학교,2302,2008,1388,2,381,237,0,0,294,86,199,9,0,1101,22,888,191,54.8,2008,383,1625,294,93,201,우송대,20.7,WOOSONG UNIVERSITY,1090.0,140.0,예
2025,대학교,특별법법인,울산,기존,울산과학기술원,84,62,9,2,51,0,0,0,22,0,17,0,5,60,0,54,6,96.8,62,49,13,22,22,0,울산과학기술원,84.5,Ulsan National Institute of Science and Technology (UNIST),2950.0,230.0,예
2025,대학교,사립,울산,기존,울산대학교,257,106,78,2,14,12,0,0,151,46,105,0,0,45,44,1,0,42.5,106,16,90,151,74,77,울산대,35.0,UNIVERSITY OF ULSAN,2330.0,15.0,예
2025,대학교,사립,전북,기존,원광대학교,132,63,39,11,4,8,1,0,69,56,13,0,0,8,8,0,0,12.7,63,1,62,69,13,56,원광대,10.6,WONKWANG UNIVERSITY,3737.0,1400.0,예
2025,사이버대학(대학),사립,전북,기존,원광디지털대학교,54,54,21,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,54,0,54,0,0,0,원광디지털대,0.0,WONKWANG DIGITAL UNIVERSITY,0.0,,아니오
2025,대학교,사립,경북,기존,위덕대학교,93,43,40,1,2,0,0,0,50,49,1,0,0,32,32,0,0,74.4,43,0,43,50,2,48,위덕대,2.2,UIDUK UNIVERSITY,450.0,90000.0,예
2025,대학교,사립,충북,기존,유원대학교,185,39,33,5,0,1,0,0,146,146,0,0,0,10,10,0,0,25.6,39,6,33,146,62,84,유원대,36.8,,,,
2025,대학교,사립,대전,기존,을지대학교,2,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,100.0,2,0,2,0,0,0,을지대,0.0,EULJI UNIVERSITY,600.0,25.0,아니오
2025,대학교,사립,경기,기존,을지대학교_제2캠퍼스,18,9,2,7,0,0,0,0,9,0,6,3,0,4,4,0,0,44.4,9,6,3,9,9,0,을지대_,83.3,,,,
2025,대학교,사립,경기,기존,을지대학교_제3캠퍼스,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,100.0,1,0,1,0,0,0,을지대_,0.0,,,,
2025,대학교,사립,서울,기존,이화여자대학교,2089,1344,1128,49,63,104,0,0,745,492,213,40,0,804,729,68,7,59.8,1344,259,1085,745,384,361,이화여자대,30.8,EWHA WOMANS UNIVERSITY,11421.0,2.0,예
2025,대학교,사립,경남,기존,인제대학교,893,257,211,8,32,6,0,0,636,628,8,0,0,143,121,22,0,55.6,257,2,255,636,0,636,인제대,0.2,INJE UNIVERSITY,716.0,15.0,예
2025,대학교,사립,인천,기존,인천가톨릭대학교,6,6,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,33.3,6,6,0,0,0,0,인천가톨릭대,100.0,INCHEON CATHOLIC UNIVERSITY,100.0,240.0,예
2025,대학교,사립,인천,기존,인천가톨릭대학교_제2캠퍼스,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,인천가톨릭대_,0.0,,,,
2025,대학교,국립대법인,인천,기존,인천대학교,430,210,172,9,18,11,0,0,220,86,134,0,0,178,96,82,0,84.8,210,54,156,220,131,89,인천대,43.0,INCHEON NATIONAL UNIVERSITY,1356.0,97.0,예
2025,대학교,사립,인천,기존,인하대학교,1954,1093,745,27,305,15,1,83,778,603,145,30,0,765,263,502,0,70.0,1093,93,1000,861,148,713,인하대,12.3,INHA UNIVERSITY,13068.0,200.0,예
2025,대학교,사립,서울,기존,장로회신학대학교,5,5,4,0,0,1,0,0,0,0,0,0,0,2,2,0,0,40.0,5,0,5,0,0,0,장로회신학대,0.0,PRESBYTERIAN UNIVERSITY AND THEOLOGICAL SEMINARY,40.0,30.0,예
2025,대학교,국립,광주,기존,전남대학교,960,254,158,36,50,10,0,0,706,282,391,33,0,132,76,56,0,52.0,254,97,157,706,349,357,전남대,46.5,CHONNAM NATIONAL UNIVERSITY,4500.0,120.0,예
2025,대학교,국립,전남,기존,전남대학교_제2캠퍼스,149,144,112,5,27,0,0,0,5,0,3,2,0,84,10,74,0,58.3,144,40,104,5,5,0,전남대_,30.2,,,,
2025,대학교,국립,전북,기존,전북대학교,1112,605,323,34,223,25,0,6,501,263,238,0,0,443,192,249,2,73.2,605,59,546,507,315,192,전북대,33.6,JEONBUK NATIONAL UNIVERSITY,1812.0,235.0,예
2025,대학교,사립,전북,기존,전주대학교,245,234,167,13,28,26,0,0,11,0,11,0,0,100,95,4,1,42.7,234,15,219,11,8,3,전주대,9.4,JEONJU UNIVERSITY,200.0,144.0,예
2025,대학교,사립,제주,기존,제주국제대학교,208,164,120,0,0,44,0,0,44,44,0,0,0,80,6,74,0,48.8,164,0,164,44,5,39,제주국제대,2.4,JEJU INTERNATIONAL UNIVERSITY,0.0,,아니오
2025,대학교,국립,제주,기존,제주대학교,331,155,101,36,11,7,0,1,175,152,23,0,0,99,99,0,0,63.9,155,60,95,176,115,61,제주대,52.9,JEJU NATIONAL UNIVERSITY,2924.0,150.0,예
2025,대학교,사립,광주,기존,조선대학교,295,194,121,8,35,30,0,0,101,84,17,0,0,71,71,0,0,36.6,194,18,176,101,28,73,조선대,15.6,CHOSUN UNIVERSITY,3312.0,160.0,예
2025,대학교,사립,충남,기존,중부대학교,971,748,667,22,18,41,0,0,223,219,4,0,0,571,38,533,0,76.3,748,122,626,223,167,56,중부대,29.8,JOONGBU UNIVERSITY,1674.0,125.0,예
2025,대학교,사립,서울,기존,중앙대학교,4257,2233,1898,32,286,12,5,0,2024,1631,393,0,0,1442,1435,6,1,64.6,2233,137,2096,2024,103,1921,중앙대,5.6,CHUNG-ANG UNIVERSITY,2426.0,30.0,예
2025,대학교,사립,경기,기존,중앙대학교_제2캠퍼스,678,618,0,14,6,598,0,0,60,46,14,0,0,292,292,0,0,47.2,618,59,559,60,11,49,중앙대_,10.3,,,,
2025,대학교,사립,경기,기존,중앙승가대학교,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,중앙승가대,100.0,JOONG-ANG SUNGHA UNIVERSITY,0.0,,아니오
